timestamp,accX,accY,accZ
705497307,0.99,-0.03,0.00
705499167,0.99,-0.03,0.00
705501180,1.02,-0.01,-0.03
705503167,1.02,-0.01,-0.03
705505159,1.02,-0.01,-0.03
705507193,1.02,-0.01,-0.03
705509198,1.02,-0.01,-0.03
705511166,0.96,-0.05,-0.01
705513167,0.96,-0.05,-0.01
705515164,0.96,-0.05,-0.01
705517159,0.96,-0.05,-0.01
705519168,0.96,-0.05,-0.01
705521265,1.03,0.02,-0.04
705523162,1.03,0.02,-0.04
705525166,1.03,0.02,-0.04
705527170,1.03,0.02,-0.04
705529163,1.03,0.02,-0.04
705531162,0.96,-0.02,-0.01
705533162,0.96,-0.02,-0.01
705535165,0.96,-0.02,-0.01
705537165,0.96,-0.02,-0.01
705539225,0.96,-0.02,-0.01
705541214,1.03,-0.00,-0.06
705543178,1.03,-0.00,-0.06
705545182,1.03,-0.00,-0.06
705547284,1.03,-0.00,-0.06
705549177,1.03,-0.00,-0.06
705551179,0.97,-0.02,-0.03
705553177,0.97,-0.02,-0.03
705555146,0.97,-0.02,-0.03
705557147,0.97,-0.02,-0.03
705559148,0.97,-0.02,-0.03
705561152,1.00,-0.00,0.00
705563151,1.00,-0.00,0.00
705565159,1.00,-0.00,0.00
705567150,1.00,-0.00,0.00
705569147,1.00,-0.00,0.00
705571271,0.98,-0.02,-0.05
705573158,0.98,-0.02,-0.05
705575147,0.98,-0.02,-0.05
705577145,0.98,-0.02,-0.05
705579189,0.98,-0.02,-0.05
705581180,0.99,-0.02,0.02
705583180,0.99,-0.02,0.02
705585179,0.99,-0.02,0.02
705587179,0.99,-0.02,0.02
705589180,0.99,-0.02,0.02
705591158,1.00,0.00,-0.02
705593150,1.00,0.00,-0.02
705595158,1.00,0.00,-0.02
705597246,1.00,0.00,-0.02
705599147,1.00,0.00,-0.02
705601146,1.00,0.00,-0.02
705603160,0.97,-0.02,0.01
705605148,0.97,-0.02,0.01
705607145,0.97,-0.02,0.01
705609154,0.97,-0.02,0.01
705611199,0.97,-0.02,0.01
705613145,1.03,-0.00,-0.16
705615306,1.03,-0.00,-0.16
705617188,1.03,-0.00,-0.16
705619200,1.03,-0.00,-0.16
705621278,1.03,-0.00,-0.16
705623189,0.96,-0.04,-0.19
705625180,0.96,-0.04,-0.19
705627187,0.96,-0.04,-0.19
705629182,0.96,-0.04,-0.19
705631177,0.96,-0.04,-0.19
705633146,1.04,-0.01,-0.21
705635149,1.04,-0.01,-0.21
705637151,1.04,-0.01,-0.21
705639150,1.04,-0.01,-0.21
705641146,1.04,-0.01,-0.21
705643150,0.93,0.02,0.20
705645147,0.93,0.02,0.20
705647241,0.93,0.02,0.20
705649146,0.93,0.02,0.20
705651149,0.93,0.02,0.20
705653145,1.03,-0.01,-0.03
705655148,1.03,-0.01,-0.03
705657151,1.03,-0.01,-0.03
705659185,1.03,-0.01,-0.03
705661180,1.03,-0.01,-0.03
705663179,0.96,0.01,0.07
705665182,0.96,0.01,0.07
705667181,0.96,0.01,0.07
705669185,0.96,0.01,0.07
705671277,0.96,0.01,0.07
705673159,1.03,-0.02,-0.17
705675149,1.03,-0.02,-0.17
705677147,1.03,-0.02,-0.17
705679146,1.03,-0.02,-0.17
705681150,1.03,-0.02,-0.17
705683149,1.02,0.00,-0.15
705685238,1.02,0.00,-0.15
705687194,1.02,0.00,-0.15
705689149,1.02,0.00,-0.15
705691148,1.02,0.00,-0.15
705693150,0.99,0.00,0.02
705695149,0.99,0.00,0.02
705697253,0.99,0.00,0.02
705699192,0.99,0.00,0.02
705701177,0.99,0.00,0.02
705703188,1.04,0.02,-0.05
705705182,1.04,0.02,-0.05
705707178,1.04,0.02,-0.05
705709179,1.04,0.02,-0.05
705711172,1.04,0.02,-0.05
705713212,0.99,-0.00,-0.00
705715145,0.99,-0.00,-0.00
705717146,0.99,-0.00,-0.00
705719147,0.99,-0.00,-0.00
705721254,0.99,-0.00,-0.00
705723156,1.07,0.02,-0.10
705725147,1.07,0.02,-0.10
705727146,1.07,0.02,-0.10
705729147,1.07,0.02,-0.10
705731147,1.07,0.02,-0.10
705733145,0.99,-0.00,-0.10
705735147,0.99,-0.00,-0.10
705737146,0.99,-0.00,-0.10
705739189,0.99,-0.00,-0.10
705741177,0.99,-0.00,-0.10
705743179,1.07,0.02,-0.07
705745179,1.07,0.02,-0.07
705747273,1.07,0.02,-0.07
705749181,1.07,0.02,-0.07
705751169,1.07,0.02,-0.07
705753145,0.99,0.02,-0.04
705755145,0.99,0.02,-0.04
705757148,0.99,0.02,-0.04
705759150,0.99,0.02,-0.04
705761148,0.99,0.02,-0.04
705763149,1.05,0.02,-0.07
705765157,1.05,0.02,-0.07
705767147,1.05,0.02,-0.07
705769148,1.05,0.02,-0.07
705771273,1.05,0.02,-0.07
705773158,1.02,0.01,-0.08
705775149,1.02,0.01,-0.08
705777149,1.02,0.01,-0.08
