timestamp,accX,accY,accZ
1427045657,0.97,-0.12,0.11
1427047586,0.97,-0.12,0.11
1427049582,0.97,-0.12,0.11
1427051635,1.08,-0.14,0.04
1427053719,1.08,-0.14,0.04
1427055587,1.08,-0.14,0.04
1427057598,1.08,-0.14,0.04
1427059589,1.08,-0.14,0.04
1427061583,0.96,-0.17,-0.11
1427063586,0.96,-0.17,-0.11
1427065582,0.96,-0.17,-0.11
1427067583,0.96,-0.17,-0.11
1427069585,0.96,-0.17,-0.11
1427071583,0.84,-0.23,-0.06
1427073585,0.84,-0.23,-0.06
1427075585,0.84,-0.23,-0.06
1427077671,0.84,-0.23,-0.06
1427079591,0.84,-0.23,-0.06
1427081582,0.97,-0.16,-0.03
1427083584,0.97,-0.16,-0.03
1427085657,0.97,-0.16,-0.03
1427087633,0.97,-0.16,-0.03
1427089616,0.97,-0.16,-0.03
1427091621,0.95,-0.15,-0.07
1427093616,0.95,-0.15,-0.07
1427095618,0.95,-0.15,-0.07
1427097619,0.95,-0.15,-0.07
1427099611,0.95,-0.15,-0.07
1427101591,0.83,0.02,-0.06
1427103704,0.83,0.02,-0.06
1427105587,0.83,0.02,-0.06
1427107583,0.83,0.02,-0.06
1427109584,0.83,0.02,-0.06
1427111582,0.86,-0.19,0.16
1427113586,0.86,-0.19,0.16
1427115584,0.86,-0.19,0.16
1427117584,0.86,-0.19,0.16
1427119587,0.86,-0.19,0.16
1427121596,0.98,-0.25,0.01
1427123624,0.98,-0.25,0.01
1427125629,0.98,-0.25,0.01
1427127710,0.98,-0.25,0.01
1427129621,0.98,-0.25,0.01
1427131614,1.15,-0.14,-0.19
1427133615,1.15,-0.14,-0.19
1427135616,1.15,-0.14,-0.19
1427137610,1.15,-0.14,-0.19
1427139585,1.15,-0.14,-0.19
1427141584,1.10,-0.21,0.10
1427143582,1.10,-0.21,0.10
1427145649,1.10,-0.21,0.10
1427147655,1.10,-0.21,0.10
1427149594,1.10,-0.21,0.10
1427151585,0.95,-0.04,0.07
1427153714,0.95,-0.04,0.07
1427155629,0.95,-0.04,0.07
1427157585,0.95,-0.04,0.07
1427159583,0.95,-0.04,0.07
1427161581,0.88,-0.12,0.09
1427163586,0.88,-0.12,0.09
1427165633,0.88,-0.12,0.09
1427167618,0.88,-0.12,0.09
1427169617,0.88,-0.12,0.09
1427171621,0.95,-0.20,-0.00
1427173619,0.95,-0.20,-0.00
1427175618,0.95,-0.20,-0.00
1427177717,0.95,-0.20,-0.00
1427179590,0.95,-0.20,-0.00
1427181583,1.05,-0.22,-0.05
1427183589,1.05,-0.22,-0.05
1427185585,1.05,-0.22,-0.05
1427187580,1.05,-0.22,-0.05
1427189583,1.05,-0.22,-0.05
1427191585,1.09,-0.13,0.00
